Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
143 Humphries Road ,ST JOHNS PARK NSW 2176,ST,NSW,2176,House,20 Apr 2022,auction,134000,4,1,4,759m² ,UNKNOWN,-33.8877054,150.9035335,28.304428660531606
7 Ian Street ,MAROUBRA NSW 2035,MAROUBRA,NSW,2035,House,12 Apr 2022,private treaty,1,3,2,0,233m² ,UNKNOWN,-33.9335662,151.2399699,7.220029203951262
7 Northbourne Drive ,MARSDEN PARK NSW 2765,MARSDEN PARK,NSW,2765,House,10 Jan 2022,private treaty,110000,4,2,2,290m² ,Urban Land Housing ,-33.7004848,150.8197961,40.86407430180732
2 Elsinore Street ,MERRYLANDS NSW 2160,MERRYLANDS,NSW,2160,House,22 Mar 2021,auction,100000,3,1,3,696m² ,Richardson & Wrench Parramatta,-33.8429306,150.986892,20.85344774878516
5 Bellinger Road ,RUSE NSW 2560,RUSE,NSW,2560,House,11 Jan 2021,private treaty,61000,3,1,1,613m² ,First National Pinnacle,-34.0788049,150.8340101,41.47682409603451
14 Margaret st ,GREENACRE NSW 2190,GREENACRE,NSW,2190,Duplex,19 Nov 2020,private treaty,1,4,4,1,306m² ,Best Choice Investment,-33.8862207,151.0669034,13.248684402425269
103/31 - 43 King Street ,SYDNEY NSW 2000,SYDNEY,NSW,2000,House,29 Nov 2019,private treaty,120000,0,−,1,18m² ,Ray White Residential Sydney CBD,-33.8698439,151.2082848,0.4512224805935063
3 Summerfield Avenue ,QUAKERS HILL NSW 2763,QUAKERS HILL,NSW,2763,House,02 Aug 2019,private treaty,81000,4,2,2,621m² ,Ray White Nolan & Iken,-33.7309335,150.8981623,32.876936585410455
99 Mount Lewis Avenue ,PUNCHBOWL NSW 2196,PUNCHBOWL,NSW,2196,House,16 Feb 2019,auction,88500,6,1,5,523m² ,Knapton Property Agents,-33.917507,151.0528556,15.266934974014188
90 The Ponds Boulevard ,THE PONDS NSW 2769,THE PONDS,NSW,2769,House,23 Sep 2018,private treaty,131000,5,3,2,583m² ,UNKNOWN,-33.7114645,150.9115282,32.938808531866904
11 Marrett Way ,CRANEBROOK NSW 2749,CRANEBROOK,NSW,2749,House,13 Feb 2018,private treaty,85000,4,3,2,800m² ,Ray White Nepean Group,-33.7158675,150.7178961,48.72467715014616
13 Edna Avenue ,MOUNT PRITCHARD NSW 2170,MOUNT PRITCHARD,NSW,2170,House,08 Jul 2017,private treaty,85000,3,2,2,651m² ,United Agents Property Group,-33.9074665,150.9036457,28.496025129071754
No Street Found,CRANEBROOK NSW 2749,CRANEBROOK,NSW,2749,House,12 Oct 2016,private treaty,1300,3,1,1,350m² ,Educated Property,-33.7048583,150.70641,50.1649204942691
